time,h2_top,h1_bot
6.94,255548,68969.07
6.95,256220.34,69210.59
6.96,256891.55,69454.87
6.97,257560.56,69695.2
6.98,258226.89,69937.91
6.99,258889.61,70175.18
7,259551.67,70416.04
7.01,260210.8,70657.31
7.02,260870.08,70901.94
7.03,261529.8,71151.66
7.04,262181.84,71400.15
7.05,262836.88,71643.48
7.06,263491.38,71887.09
7.07,264144.41,72132.39
7.08,264793.62,72374.23
7.09,265445.19,72617.42
7.1,266093.59,72865.02
7.11,266741.97,73114.09
7.12,267390.44,73364.08
7.13,268034.72,73611.77
7.14,268681.94,73859.39
7.15,269326.5,74105.83
7.16,269974.69,74351.19
7.17,270618.5,74603.72
7.18,271261.06,74851.04
7.19,271904.53,75102.06
7.2,272547.53,75351.61
7.21,273186,75603.09
7.22,273828.25,75855.49
7.23,274471.28,76108.52
7.24,275111.34,76361.14
7.25,275751.41,76613.72
7.26,276390.25,76863.86
7.27,277027.41,77114.19
7.28,277668.66,77367.09
7.29,278307.78,77625.71
7.3,278949.59,77881.59
7.31,279582.41,78137.26
7.32,280223.12,78394.2
7.33,280867.19,78648.52
7.34,281502.78,78903.8
7.35,282147.47,79160.38
7.36,282813.91,79416.29
7.37,283465.47,79683.02
7.38,284125.66,79946.3
7.39,284796.69,80206.88
7.4,285468.25,80467.02
7.41,286140.47,80722.28
7.42,286810.28,80984.49
7.43,287481.31,81242.59
7.44,288147.75,81500.39
7.45,288811,81763.96
7.46,289474.56,82029.83
7.47,290137.75,82292.49
7.48,290800.59,82557.82
7.49,291461.66,82820.61
7.5,292117.84,83085
7.51,292776.41,83345.26
7.52,293432.25,83609.41
7.53,294088.88,83874.36
7.54,294741.56,84139.01
7.55,295395.62,84404.92
7.56,296048.16,84670.04
7.57,296701.16,84937.77
7.58,297352.88,85204.62
7.59,298004.19,85474.24
7.6,298651.72,85740.06
7.61,299300.41,86009.25
7.62,299945.97,86276.73
7.63,300590.81,86541.57
7.64,301236.78,86810.6
7.65,301883,87083.43
7.66,302530.16,87358.5
7.67,303175.28,87627.76
7.68,303818.88,87899.46
7.69,304460.03,88171.61
7.7,305102.09,88442.16
7.71,305740.78,88711.98
7.72,306377.97,88983.32
7.73,307018.38,89261.97
7.74,307657.56,89544.28
