tempo,q
7.7,0.0076364
7.71,0.00762268
7.72,0.007609
7.73,0.00759534
7.74,0.00758174
7.75,0.00756816
7.76,0.00755464
7.77,0.00754114
7.78,0.00752768
7.79,0.00751424
7.8,0.00750082
7.81,0.00748742
7.82,0.00747406
7.83,0.00746072
7.84,0.00744742
7.85,0.00743414
7.86,0.00742088
7.87,0.00740766
7.88,0.00739446
7.89,0.00738128
7.9,0.00736812
7.91,0.007355
7.92,0.0073419
7.93,0.00732884
7.94,0.00731578
7.95,0.00730276
7.96,0.00728976
7.97,0.00727678
7.98,0.00726382
7.99,0.0072509
8,0.00723798
8.01,0.0072251
8.02,0.00721224
8.03,0.0071994
8.04,0.00718658
8.05,0.00717378
8.06,0.00716104
8.07,0.0071483
8.08,0.00713558
8.09,0.0071229
8.1,0.00711022
8.11,0.00709758
8.12,0.00708498
8.13,0.00707242
8.14,0.00705988
8.15,0.00704738
8.16,0.0070349
8.17,0.00702242
8.18,0.00700996
8.19,0.00699754
8.2,0.00698516
8.21,0.00697282
8.22,0.00696052
8.23,0.00694828
8.24,0.00693606
8.25,0.00692384
8.26,0.00691164
8.27,0.00689948
8.28,0.00688734
8.29,0.00687528
8.3,0.00686324
8.31,0.00685128
8.32,0.00683936
8.33,0.00682748
8.34,0.00681566
8.35,0.00680388
8.36,0.00679214
8.37,0.0067804
8.38,0.00676864
8.39,0.00675686
8.4,0.00674514
8.41,0.00673346
8.42,0.00672184
8.43,0.00671028
8.44,0.00669876
8.45,0.0066873
8.46,0.00667588
8.47,0.0066645
8.48,0.00665316
8.49,0.00664186
8.5,0.0066306
8.51,0.00661938
8.52,0.00660818
8.53,0.00659704
8.54,0.00658592
8.55,0.00657486
8.56,0.00656382
8.57,0.00655274
8.58,0.00654156
8.59,0.00653036
8.6,0.0065192
8.61,0.00650808
8.62,0.00649704
8.63,0.00648604
8.64,0.0064751
8.65,0.00646422
8.66,0.00645336
8.67,0.00644256
8.68,0.0064318
8.69,0.00642108
8.7,0.0064104
8.71,0.00639974
8.72,0.0063891
8.73,0.00637848
8.74,0.0063679
8.75,0.00635734
8.76,0.0063468
8.77,0.00633628
8.78,0.0063258
8.79,0.00631536
8.8,0.00630494
8.81,0.00629454
8.82,0.00628418
8.83,0.00627384
8.84,0.00626354
8.85,0.00625326
8.86,0.00624302
8.87,0.0062328
8.88,0.00622258
8.89,0.00621238
8.9,0.0062022
8.91,0.00619204
8.92,0.0061819
8.93,0.00617174
8.94,0.00616142
8.95,0.0061511
8.96,0.00614084
8.97,0.00613068
8.98,0.0061206
8.99,0.00611058
9,0.0061006
9.01,0.00609064
9.02,0.00608072
9.03,0.00607084
9.04,0.00606098
9.05,0.00605118
9.06,0.0060414
9.07,0.00603166
9.08,0.00602194
9.09,0.00601222
9.1,0.0060025
9.11,0.0059928
9.12,0.0059831
9.13,0.00597344
9.14,0.00596378
9.15,0.00595416
9.16,0.00594456
9.17,0.005935
9.18,0.00592546
9.19,0.00591596
9.2,0.00590648
9.21,0.00589704
9.22,0.00588762
9.23,0.00587822
9.24,0.00586886
9.25,0.00585952
9.26,0.00585022
9.27,0.00584094
9.28,0.0058317
9.29,0.00582248
9.3,0.00581326
9.31,0.00580408
9.32,0.00579492
9.33,0.00578578
9.34,0.00577664
9.35,0.00576754
9.36,0.00575846
9.37,0.00574938
9.38,0.0057403
9.39,0.0057312
9.4,0.00572212
9.41,0.00571302
9.42,0.00570396
9.43,0.00569494
9.44,0.00568594
9.45,0.00567696
9.46,0.005668
9.47,0.00565906
9.48,0.00565014
9.49,0.00564124
9.5,0.0056324
9.51,0.00562356
9.52,0.00561478
9.53,0.005606
9.54,0.00559726
9.55,0.00558854
9.56,0.00557984
9.57,0.00557114
9.58,0.00556248
9.59,0.00555382
9.6,0.00554518
